UniProt ID (2598),Description,Resistance mechanism
A0A059WYP6,Flavin-dependent monooxygenase,efflux pump
A0A0H2ZNL3,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,target alteration
A0A0H3JML2,Phosphoethanolamine transferase EptA,target alteration
A0A0H3M5L9,Multidrug efflux pump Tap,efflux pump
A0A0H4TXY1,Flavin-dependent monooxygenase,efflux pump
A0A0R6L508,Probable phosphatidylethanolamine transferase Mcr-1,target alteration
A0A1C7E424,Na(+), Li(+), K(+)/H(+) antiporter,efflux pump
A0B212,Macrolide export ATP-binding/permease protein MacB,efflux pump
A0JWX7,Undecaprenyl-diphosphatase,target alteration
A0K593,Undecaprenyl-diphosphatase 1,target alteration
A0K6E4,Undecaprenyl-diphosphatase 2,target alteration
A0KGB3,Macrolide export ATP-binding/permease protein MacB 1,efflux pump
A0KGK4,Multidrug resistance protein MdtH,efflux pump
A0KGY4,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
A0KGY6,Bifunctional polymyxin resistance protein ArnA,target alteration
A0KGY7,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
A0KMJ3,Macrolide export ATP-binding/permease protein MacB 2,efflux pump
A0KQI1,Undecaprenyl-diphosphatase,target alteration
A0KZT4,Undecaprenyl-diphosphatase,target alteration
A0L0V9,Macrolide export ATP-binding/permease protein MacB,efflux pump
A0L190,Multidrug resistance protein MdtL,efflux pump
A0L9F4,Undecaprenyl-diphosphatase,target alteration
A0LG71,Undecaprenyl-diphosphatase,target alteration
A0LM36,Macrolide export ATP-binding/permease protein MacB,efflux pump
A0LSX9,Undecaprenyl-diphosphatase,target alteration
A0M5T6,Undecaprenyl-diphosphatase,target alteration
A0PQW1,Undecaprenyl-diphosphatase,target alteration
A0PWB4,Response regulator MprA,efflux pump
A0Q210,Undecaprenyl-diphosphatase,target alteration
A0QBQ9,Response regulator MprA,efflux pump
A0QGK1,Undecaprenyl-diphosphatase,target alteration
A0QSY0,Pentapeptide repeat protein MfpA,target protection
A0QWU7,Probable triacylglyceride transporter MSMEG_3069/MSMEI_2992,efflux pump
A0QZ11,RNA polymerase-binding protein RbpA,target protection
A0QZY5,Undecaprenyl-diphosphatase,target alteration
A0R1Y1,Virginiamycin B lyase,product inactivation
A0R3I8,Response regulator MprA,efflux pump
A0R5K5,Multidrug efflux pump LfrA,efflux pump
A0R8Y3,Undecaprenyl-diphosphatase 1,target alteration
A0R9W6,Undecaprenyl-diphosphatase 2,target alteration
A0RBJ8,Undecaprenyl-diphosphatase 3,target alteration
A0RD31,Metallothiol transferase FosB,product inactivation
A0RET0,Undecaprenyl-diphosphatase 4,target alteration
A0RP01,Macrolide export ATP-binding/permease protein MacB,efflux pump
A0RQA9,Undecaprenyl-diphosphatase,target alteration
A1A1M3,Undecaprenyl-diphosphatase,target alteration
A1A9B7,Macrolide export ATP-binding/permease protein MacB 1,efflux pump
A1A9U9,Multidrug resistance protein MdtG,efflux pump
A1A9W0,Multidrug resistance protein MdtH,efflux pump
A1ABE4,Spermidine export protein MdtI,efflux pump
A1ABE5,Spermidine export protein MdtJ,efflux pump
A1ABK4,Multidrug resistance protein MdtK,efflux pump
A1ACT0,Multidrug resistance protein MdtB,efflux pump
A1ACT1,Multidrug resistance protein MdtC,efflux pump
A1ACT2,Putative multidrug resistance protein MdtD,efflux pump
A1ADA6,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
A1ADA7,Bifunctional polymyxin resistance protein ArnA,target alteration
A1ADA9,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
A1AFX9,Undecaprenyl-diphosphatase,target alteration
A1AHK2,Purine ribonucleoside efflux pump NepI,efflux pump
A1AHP3,Multidrug resistance protein MdtL,efflux pump
A1AV04,Undecaprenyl-diphosphatase,target alteration
A1AW91,Undecaprenyl-diphosphatase,target alteration
A1AZA9,Undecaprenyl-diphosphatase,target alteration
A1B677,Macrolide export ATP-binding/permease protein MacB 1/2,efflux pump
A1BCE9,Macrolide export ATP-binding/permease protein MacB 3,efflux pump
A1BE50,Macrolide export ATP-binding/permease protein MacB,efflux pump
A1BE93,Undecaprenyl-diphosphatase,target alteration
A1JKW8,Putative multidrug resistance protein MdtD,efflux pump
A1JKW9,Multidrug resistance protein MdtC,efflux pump
A1JKX1,Multidrug resistance protein MdtA,efflux pump
A1JN04,Multidrug resistance protein MdtG,efflux pump
A1JPA1,Multidrug resistance protein MdtK,efflux pump
A1JPM4,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
A1JPN5,Bifunctional polymyxin resistance protein ArnA,target alteration
A1JPP5,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
A1JQW4,Undecaprenyl-diphosphatase,target alteration
A1JRE5,Spermidine export protein MdtI,efflux pump
A1JRE8,Spermidine export protein MdtJ,efflux pump
