CARD Accession (4571),Protein Accession,Description,Resistance Mechanism,Drug Class
ARO:3000005,AAM09849.1,glycopeptide resistance gene cluster;van ligase,target alteration,glycopeptide antibiotic
ARO:3000010,AAA65956.1,glycopeptide resistance gene cluster;van ligase,target alteration,glycopeptide antibiotic
ARO:3000013,AHH83938.1,glycopeptide resistance gene cluster;van ligase,target alteration,glycopeptide antibiotic
ARO:3000024,AAK76137.1,ATP-binding cassette (ABC) antibiotic efflux pump,efflux pump,fluoroquinolone antibiotic
ARO:3000025,AAK76136.1,ATP-binding cassette (ABC) antibiotic efflux pump,efflux pump,fluoroquinolone antibiotic
ARO:3000026,AAU95768.1,multidrug and toxic compound extrusion (MATE) transporter,efflux pump,glycylcycline;tetracycline antibiotic
ARO:3000027,BAA16547.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,fluoroquinolone antibiotic
ARO:3000074,AAC75733.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,fluoroquinolone antibiotic
ARO:3000090,AAR20595.1,class A Bacillus anthracis Bla beta-lactamase,product inactivation,penam
ARO:3000118,AAB95639.1,ABC-F ATP-binding cassette ribosomal protection protein,target protection,lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic
ARO:3000124,BAB41258.1,methicillin resistant PBP2,target replacement,carbapenem;cephalosporin;cephamycin;monobactam;penam
ARO:3000149,AAG04518.1,fosfomycin thiol transferase,product inactivation,fosfomycin
ARO:3000165,AAN06707.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000166,BAC67143.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000167,AAK97755.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000168,AAL75563.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000172,AAP08996.1,fosfomycin thiol transferase,product inactivation,fosfomycin
ARO:3000173,AAA71915.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000174,AAD25538.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000175,CAA75663.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000177,AAD12753.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
